grade,subject,strand,sub_strand,learning_outcome,lesson_title,term,week,activity_title,activity_instructions,quest_title,quest_instructions,reflection_prompt,reward_coins,reward_stars,estimated_duration,difficulty,key_inquiry_question,suggested_learning_experience,assessment_hint,values,core_competencies,pertinent_and_contemporary_issues,source_document,source_page_or_section,source_confidence,review_status,existing_match_status,duplicate_risk,notes_for_victor
2,Mathematical Activities,Numbers,1.1 Number Concept,"By the end of the lesson, the learner should be able to: read numbers 1-100 in symbols",Reading Numbers 1 to 50 in Symbols,Term 1,Week 1,Activity: Reading Numbers 1 to 50 in Symbols,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,1.1 Number Concept Quest,"Explore 1.1 number concept through interactive activities, hands-on practice, and real-life application.",What did you learn about reading numbers 1 to 50 in symbols today? How can you use this in your daily life?,10,1,30,Beginner,How can we find the number of objects in a group?,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,"Oral questions, observation, written exercise","Respect, Responsibility","Communication and Collaboration, Imagination and Creativity, Digital Literacy, Critical Thinking and Problem Solving",Life skills: self-awareness and self-esteem - when using body parts; ESD: DRR; safety - when collecting items in the environment,KICD Lower Primary Curriculum Designs Vol.2 (Aug 2017),Page 30,HIGH — official KICD curriculum document,DRAFT,NEW,LOW — sourced from official KICD document,"Source: KICD Lower Primary Curriculum Designs Vol.2, page 30. 8 lessons allocated for this sub-strand."
2,Mathematical Activities,Numbers,1.1 Number Concept,"By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environment",Reading Numbers 51 to 100 in Symbols,Term 1,Week 2,Activity: Reading Numbers 51 to 100 in Symbols,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,1.1 Number Concept Quest,"Explore 1.1 number concept through interactive activities, hands-on practice, and real-life application.",What did you learn about reading numbers 51 to 100 in symbols today? How can you use this in your daily life?,10,1,30,Beginner,How can we find the number of objects in a group?,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,"Oral questions, observation, written exercise","Respect, Responsibility","Communication and Collaboration, Imagination and Creativity, Digital Literacy, Critical Thinking and Problem Solving",Life skills: self-awareness and self-esteem - when using body parts; ESD: DRR; safety - when collecting items in the environment,KICD Lower Primary Curriculum Designs Vol.2 (Aug 2017),Page 30,HIGH — official KICD curriculum document,DRAFT,NEW,LOW — sourced from official KICD document,"Source: KICD Lower Primary Curriculum Designs Vol.2, page 30. 8 lessons allocated for this sub-strand."
2,Mathematical Activities,Numbers,1.1 Number Concept,"By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environment",Representing Numbers 1 to 50 Using Concrete Objects,Term 1,Week 3,Activity: Representing Numbers 1 to 50 Using Concrete Objects,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,1.1 Number Concept Quest,"Explore 1.1 number concept through interactive activities, hands-on practice, and real-life application.",What did you learn about representing numbers 1 to 50 using concrete objects today? How can you use this in your daily life?,10,1,30,Beginner,How can we find the number of objects in a group?,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,"Oral questions, observation, written exercise","Respect, Responsibility","Communication and Collaboration, Imagination and Creativity, Digital Literacy, Critical Thinking and Problem Solving",Life skills: self-awareness and self-esteem - when using body parts; ESD: DRR; safety - when collecting items in the environment,KICD Lower Primary Curriculum Designs Vol.2 (Aug 2017),Page 30,HIGH — official KICD curriculum document,DRAFT,NEW,LOW — sourced from official KICD document,"Source: KICD Lower Primary Curriculum Designs Vol.2, page 30. 8 lessons allocated for this sub-strand."
2,Mathematical Activities,Numbers,1.1 Number Concept,"By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environment",Representing Numbers 51 to 100 Using Concrete Objects,Term 1,Week 4,Activity: Representing Numbers 51 to 100 Using Concrete Objects,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,1.1 Number Concept Quest,"Explore 1.1 number concept through interactive activities, hands-on practice, and real-life application.",What did you learn about representing numbers 51 to 100 using concrete objects today? How can you use this in your daily life?,10,1,30,Beginner,How can we find the number of objects in a group?,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,"Oral questions, observation, written exercise","Respect, Responsibility","Communication and Collaboration, Imagination and Creativity, Digital Literacy, Critical Thinking and Problem Solving",Life skills: self-awareness and self-esteem - when using body parts; ESD: DRR; safety - when collecting items in the environment,KICD Lower Primary Curriculum Designs Vol.2 (Aug 2017),Page 30,HIGH — official KICD curriculum document,DRAFT,NEW,LOW — sourced from official KICD document,"Source: KICD Lower Primary Curriculum Designs Vol.2, page 30. 8 lessons allocated for this sub-strand."
2,Mathematical Activities,Numbers,1.1 Number Concept,"By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environment",Counting Numbers 1 to 100 Forward,Term 1,Week 5,Activity: Counting Numbers 1 to 100 Forward,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,1.1 Number Concept Quest,"Explore 1.1 number concept through interactive activities, hands-on practice, and real-life application.",What did you learn about counting numbers 1 to 100 forward today? How can you use this in your daily life?,10,1,30,Beginner,How can we find the number of objects in a group?,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,"Oral questions, observation, written exercise","Respect, Responsibility","Communication and Collaboration, Imagination and Creativity, Digital Literacy, Critical Thinking and Problem Solving",Life skills: self-awareness and self-esteem - when using body parts; ESD: DRR; safety - when collecting items in the environment,KICD Lower Primary Curriculum Designs Vol.2 (Aug 2017),Page 30,HIGH — official KICD curriculum document,DRAFT,NEW,LOW — sourced from official KICD document,"Source: KICD Lower Primary Curriculum Designs Vol.2, page 30. 8 lessons allocated for this sub-strand."
2,Mathematical Activities,Numbers,1.1 Number Concept,"By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environment",Counting Numbers 1 to 100 Backward,Term 1,Week 6,Activity: Counting Numbers 1 to 100 Backward,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,1.1 Number Concept Quest,"Explore 1.1 number concept through interactive activities, hands-on practice, and real-life application.",What did you learn about counting numbers 1 to 100 backward today? How can you use this in your daily life?,10,1,30,Beginner,How can we find the number of objects in a group?,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,"Oral questions, observation, written exercise","Respect, Responsibility","Communication and Collaboration, Imagination and Creativity, Digital Literacy, Critical Thinking and Problem Solving",Life skills: self-awareness and self-esteem - when using body parts; ESD: DRR; safety - when collecting items in the environment,KICD Lower Primary Curriculum Designs Vol.2 (Aug 2017),Page 30,HIGH — official KICD curriculum document,DRAFT,NEW,LOW — sourced from official KICD document,"Source: KICD Lower Primary Curriculum Designs Vol.2, page 30. 8 lessons allocated for this sub-strand."
2,Mathematical Activities,Numbers,1.1 Number Concept,"By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environment",Filling in Missing Numbers 1 to 50,Term 1,Week 7,Activity: Filling in Missing Numbers 1 to 50,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,1.1 Number Concept Quest,"Explore 1.1 number concept through interactive activities, hands-on practice, and real-life application.",What did you learn about filling in missing numbers 1 to 50 today? How can you use this in your daily life?,10,1,30,Beginner,How can we find the number of objects in a group?,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,"Oral questions, observation, written exercise","Respect, Responsibility","Communication and Collaboration, Imagination and Creativity, Digital Literacy, Critical Thinking and Problem Solving",Life skills: self-awareness and self-esteem - when using body parts; ESD: DRR; safety - when collecting items in the environment,KICD Lower Primary Curriculum Designs Vol.2 (Aug 2017),Page 30,HIGH — official KICD curriculum document,DRAFT,NEW,LOW — sourced from official KICD document,"Source: KICD Lower Primary Curriculum Designs Vol.2, page 30. 8 lessons allocated for this sub-strand."
2,Mathematical Activities,Numbers,1.1 Number Concept,"By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environment",Filling in Missing Numbers 51 to 100,Term 1,Week 8,Activity: Filling in Missing Numbers 51 to 100,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,1.1 Number Concept Quest,"Explore 1.1 number concept through interactive activities, hands-on practice, and real-life application.",What did you learn about filling in missing numbers 51 to 100 today? How can you use this in your daily life?,10,1,30,Beginner,How can we find the number of objects in a group?,Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. Learners to play digital games of representing groups with numbers.,"Oral questions, observation, written exercise","Respect, Responsibility","Communication and Collaboration, Imagination and Creativity, Digital Literacy, Critical Thinking and Problem Solving",Life skills: self-awareness and self-esteem - when using body parts; ESD: DRR; safety - when collecting items in the environment,KICD Lower Primary Curriculum Designs Vol.2 (Aug 2017),Page 30,HIGH — official KICD curriculum document,DRAFT,NEW,LOW — sourced from official KICD document,"Source: KICD Lower Primary Curriculum Designs Vol.2, page 30. 8 lessons allocated for this sub-strand."
2,Mathematical Activities,Numbers,1.2 Whole Numbers,"By the end of the lesson, the learner should be able to: count numbers forward and backward up to 100",Counting in 2s Forward up to 100,Term 1,Week 9,Activity: Counting in 2s Forward up to 100,Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to discuss place value up to hundreds. Learners in pairs to read numbers 1-100 in symbols. Learners to read and write numbers 1-20 in words. Learners to play digital games involving whole numbers. Learners to work out missing numbers in patterns up to 100. Learners in pairs/groups to make number patterns ,1.2 Whole Numbers Quest,"Explore 1.2 whole numbers through interactive activities, hands-on practice, and real-life application.",What did you learn about counting in 2s forward up to 100 today? How can you use this in your daily life?,10,1,30,Beginner,How do we get the next number in a pattern?,Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to discuss place value up to hundreds. Learners in pairs to read numbers 1-100 in symbols. Learners to read and write numbers 1-20 in words. Learners to play digital games involving whole numbers. Learners to work out missing numbers in patterns up to 100. Learners in pairs/groups to make number patterns and share.,"Oral questions, written exercise, observation","Respect, Responsibility","Communication and Collaboration, Critical Thinking and Problem Solving, Digital Literacy",Citizenship: leadership - as learners work in groups,KICD Lower Primary Curriculum Designs Vol.2 (Aug 2017),Page 31-32,HIGH — official KICD curriculum document,DRAFT,NEW,LOW — sourced from official KICD document,"Source: KICD Lower Primary Curriculum Designs Vol.2, page 31-32. 20 lessons allocated for this sub-strand."
2,Mathematical Activities,Numbers,1.2 Whole Numbers,"By the end of the lesson, the learner should be able to: identify place value up to hundreds",Counting in 2s Backward up to 100,Term 1,Week 10,Activity: Counting in 2s Backward up to 100,Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to discuss place value up to hundreds. Learners in pairs to read numbers 1-100 in symbols. Learners to read and write numbers 1-20 in words. Learners to play digital games involving whole numbers. Learners to work out missing numbers in patterns up to 100. Learners in pairs/groups to make number patterns ,1.2 Whole Numbers Quest,"Explore 1.2 whole numbers through interactive activities, hands-on practice, and real-life application.",What did you learn about counting in 2s backward up to 100 today? How can you use this in your daily life?,10,1,30,Beginner,How do we get the next number in a pattern?,Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to discuss place value up to hundreds. Learners in pairs to read numbers 1-100 in symbols. Learners to read and write numbers 1-20 in words. Learners to play digital games involving whole numbers. Learners to work out missing numbers in patterns up to 100. Learners in pairs/groups to make number patterns and share.,"Oral questions, written exercise, observation","Respect, Responsibility","Communication and Collaboration, Critical Thinking and Problem Solving, Digital Literacy",Citizenship: leadership - as learners work in groups,KICD Lower Primary Curriculum Designs Vol.2 (Aug 2017),Page 31-32,HIGH — official KICD curriculum document,DRAFT,NEW,LOW — sourced from official KICD document,"Source: KICD Lower Primary Curriculum Designs Vol.2, page 31-32. 20 lessons allocated for this sub-strand."
