lesson_id,title,strand,sub_strand,learningOutcome,keyInquiryQuestion,suggestedLearningExperience,activityInstructions,mapped_topic,mapped_subtopic,source_file_reference,child_friendly_goal,vocabulary_needed,representation_needed,example_type,practice_type,quick_check_type,difficulty_limit,video_needed,visual_needed,source_pack_status,human_input_needed,safe_to_generate
"78a3a720-af76-4c2e-8729-c5ef1421eded","Multiplication as Repeated Addition with 2s and 3s","Numbers","Multiplication","By the end of the lesson, the learner should be able to represent multiplication as repeated addition using equal groups of 2 and 3.","","","Give each learner or pair 12 counters. Ask them to arrange the counters into equal groups of 2, then equal groups of 3. For each arrangement, learners say the repeated addition sentence aloud, write i","Addition","Multiplication","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"7fe4e4f8-25d2-4aab-b06f-34120a06d946","Word Problems: Single Digit Addition","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"7993c880-07eb-4b67-b0de-71af2f600fef","Word Problems: 2-Digit and 1-Digit Addition","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"981b27eb-9d0d-4450-9bed-e76f1ba54c96","Adding Two 2-Digit Numbers Without Regrouping","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"f9dd1dbb-250d-4591-af46-ad35e335d40c","Comparing Numbers","Numbers","Whole Numbers","Compare numbers","","","Compare two groups of objects","Numbers","Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","TODO: Victor to specify","TODO: Victor to specify","TODO: Victor to provide","TODO: Victor to specify","TODO: Victor to specify","YES - needs human approval","YES - per topic guidance","old-v2-needs-replacement","YES","NO - awaiting source pack completion"
"ed0039bc-67b7-4c7f-ba0b-76cc80030328","Counting Numbers to 100","Numbers","Whole Numbers","Count numbers up to 100","","","Count objects around the classroom","Number Patterns & Counting","Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"5cea9ba8-0047-466b-a4eb-6c1e80b3c92a","Breaking Numbers Apart to Make 10","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Numbers","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","TODO: Victor to specify","TODO: Victor to specify","TODO: Victor to provide","TODO: Victor to specify","TODO: Victor to specify","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"95b7d152-18ab-4e3e-8114-19742f6839a0","Measuring Length in Metres/m","Measurement","Length","By the end of the lesson, the learner should be able to measure the length of classroom objects using fixed units, identify the metre as a standard unit of measuring length, measure short distances in","","","1. Look at the metre rule or tape measure and identify the metre mark. 2. Choose three classroom objects or spaces to measure. 3. First estimate whether each item is less than, about, or more than 1 m","Measurement","Length","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","classroom objects, ruler, measuring tools","measuring with standard units, comparing","TODO: Victor to provide","compare-units / read-measurement","metres, litres, kilograms; non-standard before standard","YES - needs human approval","YES - per topic guidance","old-v2-needs-replacement","YES","NO - awaiting source pack completion"
"bc4a1378-6dff-4dd3-9fbb-0f5b7e9a631e","Representing Numbers 1 to 50 Using Concrete Objects","Numbers","1.1 Number Concept","By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environment","How can we find the number of objects in a group?","Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. ","Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. ","Number Concept","1.1 Number Concept","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","concrete objects, number cards","representing quantities with objects","TODO: Victor to provide","represent-quantity / compare-numbers","1-1000 representation","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"d7cdedaa-4fc1-42fa-8f28-7aef3761a645","Adding Two 2-Digit Numbers With Regrouping","Numbers","1.4 Addition","By the end of the lesson, the learner should be able to: work out missing numbers in patterns involving addition of whole numbers up to 100","How can we align a 2-digit number and a 1-digit number vertically in order to add? When do we regroup?","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Learners in pairs to write addition sentences given in horizontal form vertically according to place value. Learners to add a 2-digit number to a 1-digit number without and with regrouping. Learners t","Addition","1.4 Addition","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","counters, number line, base-ten blocks","worked example with regrouping/no-regrouping","TODO: Victor to provide","addition-fact-regrouping / addition-fact-no-regrouping","max 3-digit + 3-digit, with/without regrouping","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"a97ab36c-9ad2-428d-832f-e688bea73382","Reading Numbers 51 to 100 in Symbols","Numbers","1.1 Number Concept","By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environment","How can we find the number of objects in a group?","Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. ","Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. ","Reading & Writing Numbers","1.1 Number Concept","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number cards, word-symbol matching","number-symbol matching, word writing","TODO: Victor to provide","read-number / write-number","1-100 in symbols and words","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"04a80f76-bf67-4c8c-b3f0-183a3b205e16","Counting Numbers 1 to 100 Backward","Numbers","1.1 Number Concept","By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environment","How can we find the number of objects in a group?","Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. ","Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. ","Number Patterns & Counting","1.1 Number Concept","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"7e886e8a-9486-430f-b035-12909bd581a6","Filling in Missing Numbers 1 to 50","Numbers","1.1 Number Concept","By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environment","How can we find the number of objects in a group?","Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. ","Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. ","Number Patterns & Counting","1.1 Number Concept","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"239becec-4f84-4e38-8169-a0bc72730d5f","Counting Numbers 1 to 100 Forward","Numbers","1.1 Number Concept","By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environment","How can we find the number of objects in a group?","Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. ","Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. ","Number Patterns & Counting","1.1 Number Concept","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
