lesson_id,title,mapped_topic,current_video_id,current_video_url,current_video_reused,expected_video_topic,video_status,human_review_needed,approved_video_url,backup_video_url,notes
"78a3a720-af76-4c2e-8729-c5ef1421eded","Multiplication as Repeated Addition with 2s and 3s","Addition","pAtrNu8y6FQ","https://www.youtube.com/watch?v=pAtrNu8y6FQ","YES","Addition","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 10 lessons"
"7fe4e4f8-25d2-4aab-b06f-34120a06d946","Word Problems: Single Digit Addition","Addition","","","NO","Addition","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"7993c880-07eb-4b67-b0de-71af2f600fef","Word Problems: 2-Digit and 1-Digit Addition","Addition","","","NO","Addition","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"981b27eb-9d0d-4450-9bed-e76f1ba54c96","Adding Two 2-Digit Numbers Without Regrouping","Addition","pAtrNu8y6FQ","https://www.youtube.com/watch?v=pAtrNu8y6FQ","YES","Addition","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 10 lessons"
"f9dd1dbb-250d-4591-af46-ad35e335d40c","Comparing Numbers","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"ed0039bc-67b7-4c7f-ba0b-76cc80030328","Counting Numbers to 100","Number Patterns","","","NO","Number Patterns","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"5cea9ba8-0047-466b-a4eb-6c1e80b3c92a","Breaking Numbers Apart to Make 10","Other","pAtrNu8y6FQ","https://www.youtube.com/watch?v=pAtrNu8y6FQ","YES","Other","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 10 lessons"
"95b7d152-18ab-4e3e-8114-19742f6839a0","Measuring Length in Metres/m","Measurement","","","NO","Measurement","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"bc4a1378-6dff-4dd3-9fbb-0f5b7e9a631e","Representing Numbers 1 to 50 Using Concrete Objects","Number Concept","jEYs9Z2w8oU","https://www.youtube.com/watch?v=jEYs9Z2w8oU","YES","Number Concept","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 3 lessons"
"d7cdedaa-4fc1-42fa-8f28-7aef3761a645","Adding Two 2-Digit Numbers With Regrouping","Addition","pAtrNu8y6FQ","https://www.youtube.com/watch?v=pAtrNu8y6FQ","YES","Addition","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 10 lessons"
"a97ab36c-9ad2-428d-832f-e688bea73382","Reading Numbers 51 to 100 in Symbols","Reading & Writing Numbers","lxyjIFHXSCA","https://www.youtube.com/watch?v=lxyjIFHXSCA","YES","Reading & Writing Numbers","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 3 lessons"
