lessonId,title,slug,subject,strand,subStrand,learningOutcome,status,journeySource,pubStepCount,draftStepCount,pubSeverity,draftSeverity,worstSeverity,pubFlags,draftFlags,sampleText
"ed0039bc-67b7-4c7f-ba0b-76cc80030328","Counting Numbers to 100","g2-mathematics-counting-numbers-to-100","Mathematics","Numbers","Whole Numbers","Count numbers up to 100","PUBLISHED","both","10","10","likely_clean","likely_clean","likely_clean","GENERIC: ""are you ready""","GENERIC: ""are you ready""","hello friend! i am owl, your math teacher. today we will learn to count all the way up to 10! then we will count even more to 100. let us start with counting things you see every day, like fruits and "
"8019d7fd-a1a2-417d-9822-d70a676847d0","Counting to 100 *Soh","g2-mathematics-counting-to-100","Mathematics","Number Concept","Counting","Learners should be able to count objects up to 100","PUBLISHED","draft","","10","empty","clean","clean","","",""
"735967a1-3851-4f8a-8d99-1e66084f54d9","Following Simple Instructions","following-simple-instructions","English Language Activities","1.0 Listening","1.1 Listen to Instructions and Questions","Listen attentively to simple sequenced instructions","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","hello! today we will learn about listening skills together. hello, friend! today we are going to learn about listening skills through instructions. are you ready? welcome! our mission is to learn abou"
"9a219337-a69f-41db-a669-75912da17498","Observing Today’s Weather","g2-environmental-observing-today-s-weather","Environmental","Environment and its resources","1.1 Weather — responding, recording and interpreting weather conditions","By the end of the lesson, the learner should be able to identify weather conditions, respond safely, record weather usin","PUBLISHED","none","","","empty","empty","empty","","",""
"6e8019ea-b088-41fb-b4e6-71586d03f937","Kutamka sauti /g/, /d/, /j/ na /r/","g2-kiswahili-kutamka-sauti-g-d-j-na-r","Kiswahili","Sauti na Herufi","Shuleni — Sauti na majina ya herufi za Kiswahili","By the end of the lesson, the learner should be able to: pronounce target Kiswahili one-letter sounds /g/, /d/, /j/ and ","PUBLISHED","none","","","empty","empty","empty","","",""
"78a3a720-af76-4c2e-8729-c5ef1421eded","Multiplication as Repeated Addition with 2s and 3s","g2-mathematics-multiplication-as-repeated-addition-with-2s-and-3s","Mathematics","Numbers","Multiplication","By the end of the lesson, the learner should be able to represent multiplication as repeated addition using equal groups","PUBLISHED","draft","","10","empty","clean","clean","","",""
"e0000001-0000-0000-0000-000000000001","Counting by Ones","counting-ones-g2","Mathematics","","","","PUBLISHED","legacy","","","legacy","legacy","legacy","","",""
"e3d5c103-6103-4874-815c-00a0e9c3da95","Naming Animals and Body Parts Used for Hopping","g2-movement-naming-animals-and-body-parts-used-for-hopping","Movement","Movement: Basic Movement Skills","1.1 Locomotor Skills: Hopping — 12 official lesson(s)","By the end of the lesson, the learner should be able to name body parts used when hopping, perform hopping in different ","PUBLISHED","none","","","empty","empty","empty","","",""
"377e0d32-066d-4bb2-8fb3-a3c790989905","Reading Numbers 1 to 50 in Symbols","g2-mathematics-reading-numbers-1-to-50-in-symbols","Mathematics","Numbers","1.1 Number Concept","By the end of the lesson, the learner should be able to: read numbers 1-100 in symbols","PUBLISHED","both","10","10","contaminated","contaminated","contaminated","FORBIDDEN: ""reading comprehension""; FORBIDDEN: ""read a short passage""; FORBIDDEN: ""good readers""; FORBIDDEN: ""words say""; FORBIDDEN: ""what did you learn about reading""; GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""; REFLECTION_MISMATCH: Math asks about reading","FORBIDDEN: ""reading comprehension""; FORBIDDEN: ""read a short passage""; FORBIDDEN: ""good readers""; FORBIDDEN: ""words say""; FORBIDDEN: ""what did you learn about reading""; GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""; REFLECTION_MISMATCH: Math asks about reading","hello! today we will learn about reading comprehension together. hello, friend! today we are going to learn about reading comprehension through reading. are you ready? welcome! our mission is to learn"
"98a1cc05-2de8-4b71-b85f-21bd4caad2c0","School: Listening for Key Ideas","g2-english-school-listening-for-key-ideas","English","Listening and Speaking","1.1 Attentive Listening — School: The verb to be: was and were","By the end of the lesson, the learner should be able to: listen attentively, respond to simple two-directional instructi","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","hello! today we will learn about listening skills together. hello, friend! today we are going to learn about listening skills through school. are you ready? welcome! our mission is to learn about list"
