lesson_id,title,journey_field,defect_type,severity,evidence,recommended_fix,needs_source_pack
"7fe4e4f8-25d2-4aab-b06f-34120a06d946","Word Problems: Single Digit Addition","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"7fe4e4f8-25d2-4aab-b06f-34120a06d946","Word Problems: Single Digit Addition","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"7fe4e4f8-25d2-4aab-b06f-34120a06d946","Word Problems: Single Digit Addition","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"7993c880-07eb-4b67-b0de-71af2f600fef","Word Problems: 2-Digit and 1-Digit Addition","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"7993c880-07eb-4b67-b0de-71af2f600fef","Word Problems: 2-Digit and 1-Digit Addition","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"7993c880-07eb-4b67-b0de-71af2f600fef","Word Problems: 2-Digit and 1-Digit Addition","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"f9dd1dbb-250d-4591-af46-ad35e335d40c","Comparing Numbers","studentJourney","malformed_mcq_options","high","Step 8: MCQ has < 2 options","provide 4 answer options","yes"
"f9dd1dbb-250d-4591-af46-ad35e335d40c","Comparing Numbers","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"f9dd1dbb-250d-4591-af46-ad35e335d40c","Comparing Numbers","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"f9dd1dbb-250d-4591-af46-ad35e335d40c","Comparing Numbers","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"ed0039bc-67b7-4c7f-ba0b-76cc80030328","Counting Numbers to 100","studentJourneyDraft","wrong_step_count","high","11 steps (expected 10)","regenerate with 10-step template","no"
"ed0039bc-67b7-4c7f-ba0b-76cc80030328","Counting Numbers to 100","studentJourneyDraft","malformed_mcq_options","high","Step 9: MCQ has < 2 options","provide 4 answer options","yes"
"ed0039bc-67b7-4c7f-ba0b-76cc80030328","Counting Numbers to 100","studentJourneyDraft","missing_correct_index","critical","Step 9: no correctIndex","set correctIndex","yes"
"ed0039bc-67b7-4c7f-ba0b-76cc80030328","Counting Numbers to 100","studentJourneyDraft","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"ed0039bc-67b7-4c7f-ba0b-76cc80030328","Counting Numbers to 100","studentJourney","malformed_mcq_options","high","Step 8: MCQ has < 2 options","provide 4 answer options","yes"
"ed0039bc-67b7-4c7f-ba0b-76cc80030328","Counting Numbers to 100","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"ed0039bc-67b7-4c7f-ba0b-76cc80030328","Counting Numbers to 100","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"95b7d152-18ab-4e3e-8114-19742f6839a0","Measuring Length in Metres/m","studentJourneyDraft","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"95b7d152-18ab-4e3e-8114-19742f6839a0","Measuring Length in Metres/m","studentJourneyDraft","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"95b7d152-18ab-4e3e-8114-19742f6839a0","Measuring Length in Metres/m","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
