lesson_id,title,has_svg,svg_count,svg_generic,svg_useful,needs_replacement
"78a3a720-af76-4c2e-8729-c5ef1421eded","Multiplication as Repeated Addition with 2s and 3s","true","2","","true",""
"7fe4e4f8-25d2-4aab-b06f-34120a06d946","Word Problems: Single Digit Addition","","","","","true"
"7993c880-07eb-4b67-b0de-71af2f600fef","Word Problems: 2-Digit and 1-Digit Addition","","","","","true"
"981b27eb-9d0d-4450-9bed-e76f1ba54c96","Adding Two 2-Digit Numbers Without Regrouping","true","2","","true",""
"f9dd1dbb-250d-4591-af46-ad35e335d40c","Comparing Numbers","","","","","true"
"ed0039bc-67b7-4c7f-ba0b-76cc80030328","Counting Numbers to 100","","","","","true"
"5cea9ba8-0047-466b-a4eb-6c1e80b3c92a","Breaking Numbers Apart to Make 10","true","2","","true",""
"95b7d152-18ab-4e3e-8114-19742f6839a0","Measuring Length in Metres/m","","","","","true"
"bc4a1378-6dff-4dd3-9fbb-0f5b7e9a631e","Representing Numbers 1 to 50 Using Concrete Objects","true","2","","true",""
"d7cdedaa-4fc1-42fa-8f28-7aef3761a645","Adding Two 2-Digit Numbers With Regrouping","true","2","","true",""
"a97ab36c-9ad2-428d-832f-e688bea73382","Reading Numbers 51 to 100 in Symbols","true","2","","true",""
"04a80f76-bf67-4c8c-b3f0-183a3b205e16","Counting Numbers 1 to 100 Backward","true","2","","true",""
"7e886e8a-9486-430f-b035-12909bd581a6","Filling in Missing Numbers 1 to 50","true","2","","true",""
"239becec-4f84-4e38-8169-a0bc72730d5f","Counting Numbers 1 to 100 Forward","true","2","","true",""
"853782ed-f7d2-4536-9665-cab6f525dbff","Filling in Missing Numbers 51 to 100","true","2","","true",""
"74590ca5-c695-4bf2-a990-6be39c08285b","Counting in 2s Backward up to 100","true","2","","true",""
"71850381-f070-437f-8bec-8fec93d6f7cc","Counting in 5s Forward up to 100","true","2","","true",""
"a9cb3164-32c1-4b8e-a0bd-a52b03fe4c94","Place Value: Ones and Tens","","","","","true"
"93a6b8a3-a810-4774-b24b-117c9d4ec841","Place Value: Hundreds","","","","","true"
"22d83674-88b9-4431-ac3c-264ba5115764","Counting in 10s Forward up to 100","true","2","","true",""
"db4c0d2d-671b-4a12-975c-c76a3da956c9","Number Patterns: Completing Patterns up to 50","","","","","true"
"8019d7fd-a1a2-417d-9822-d70a676847d0","Counting to 100 *Soh","true","2","","true",""
"957cb5fc-4055-47ea-844f-e83d520c34cc","Writing Numbers 1 to 10 in Words","true","2","","true",""
"4b04cd35-ffa5-4ec2-8524-97bebd39238e","Writing Numbers 11 to 20 in Words","true","2","","true",""
"4cac57af-ad3f-4dc4-b6dc-a9c1bb57d59d","Number Patterns: Skip Counting by 2s","","","","","true"
"60572597-f1c3-42d8-aede-0f1198f8f484","Number Patterns: Skip Counting by 5s","","","","","true"
"edefbd62-e357-46fa-8311-cf1a17959cd9","Number Patterns: Skip Counting by 10s","","","","","true"
"326924a2-ea0e-4f05-833a-6f77a629d954","Number Line: Counting Forward","","","","","true"
"b607eeb5-45e9-4fda-9c60-1e85435fc1aa","Number Line: Counting Backward","","","","","true"
"9f5bfa58-7077-453a-afb8-736d7376c8a9","Number Line: Skip Counting","","","","","true"
"0767b9f0-4a75-4a27-b2a2-fa9833c8dae8","Introduction to Halves Using Rectangular Cut-outs","true","2","","true",""
"fb0c5c4f-519a-47d6-a021-2526d6d5a665","Number Patterns: Extending Patterns","","","","","true"
"159f92b9-69c7-45ea-8376-2b15af491360","Identifying 1/2 in Everyday Objects","true","2","","true",""
"60441bd5-774f-4135-9871-666fc481b13b","Identifying 1/4 in Everyday Objects","true","2","","true",""
"9b887eb8-0a48-4f37-9689-b53113904728","Introduction to Quarters Using Rectangular Cut-outs","true","2","","true",""
"839653eb-cd5e-405b-a483-b6d307fee352","Comparing Fractions: 1/2 and 1/4","","","","","true"
"b163de06-c0e5-4a42-8bce-ba7dcab330a9","Making Patterns with Fractions","true","2","","true",""
"dbadac3a-b59b-4f76-bebf-efda6fb3e261","Digital Games with Fractions","true","2","","true",""
"c71a49c8-e9c6-41e5-b6ef-ad0aa386a59f","Fractions: Practice and Application","","","","","true"
"2e1869d6-f5df-46a1-9d02-b4b53a1062fe","Fractions: Assessment and Reflection","","","","","true"
"4fa40ac0-f60d-4f98-9d23-f85566b28af6","Adding Using the Number Line","true","2","","true",""
"5f1f7551-1c06-40d2-a10d-14cdece75151","Adding 3 Single Digit Numbers Horizontally","true","2","","true",""
"70fdce2b-3284-4c89-8497-036aee7d9207","Adding 3 Single Digit Numbers Vertically","true","2","","true",""
"f58faf50-97f7-4340-b17f-9eff6f08e38d","Adding Single Digit Numbers Vertically","true","2","","true",""
"3b7a611d-0908-42c8-a0f2-394fdac48db3","Addition: Digital Games","","","","","true"
"0f23169f-b325-40a9-9145-488f5115142b","Addition: Word Problems with 2-Digit Numbers","","","","","true"
"4db719cc-28b2-4a24-82f3-71509f643d54","Addition: Assessment and Review","","","","","true"
"4da16052-0c43-48f6-8413-b802526461f0","Addition: Missing Numbers in Patterns","","","","","true"
"fe6f4998-52b5-40eb-8e39-2e8e3432b8ab","Addition: Creating Number Patterns","","","","","true"
"627e0732-926b-4f12-9f0c-a13f170e747a","Addition: Community Application","","","","","true"
"a669d5eb-9e51-4270-a439-7cd2568c5daf","Addition: Practice and Application","","","","","true"
"17d7857a-a622-4b09-8524-db7be78977f8","Subtracting 2-Digit Numbers Without Regrouping (Vertical)","true","2","","true",""
"b546d836-3292-48a1-b445-134e85b30e20","Subtracting 2-Digit Numbers Without Regrouping (Horizontal)","true","2","","true",""
"11d88b45-b1a6-4143-9c04-42e88e57d080","Subtracting Single Digit Numbers","true","2","","true",""
"bec50c90-2129-4275-8cdb-abb06296e4cf","Subtracting Using the Number Line","true","2","","true",""
"93e1418a-7f84-4a4c-864a-be2e6b12cdfb","Word Problems: Subtraction Within 100","","","","","true"
"e20dbfd4-eba4-402d-8743-8e24e00475a2","Using Number Families for Subtraction","true","2","","true",""
"66cdd3b3-858d-4be2-a451-b2f2340bc852","Missing Numbers in Subtraction","true","2","","true",""
"a2c19258-4fce-4d87-bb6b-c92e5d79e3b2","Subtraction: Practice and Application","","","","","true"
"a295ff53-4930-4a82-b76d-38b0f6acd3ec","Subtraction: Digital Games","","","","","true"
"c6bb3650-4995-47df-98ac-e3e34411aff4","Subtraction: Word Problems","","","","","true"
"7a0a98dd-9540-47fc-9fc5-7d8af38527df","Subtraction: Missing Numbers in Patterns","","","","","true"
"23d35317-4c2b-4118-ae0e-11c80e8c85ea","Subtraction: Creating Patterns","","","","","true"
"85f7ad4c-a8d7-4aea-b5fc-b8d372d37a3f","Subtraction: Comparing Groups","","","","","true"
"54d40989-42ac-4220-9204-2a90fe73aa35","Subtraction: Community Service","","","","","true"
"01f283c3-2b7c-44ea-9d2a-8d7782a8cb1a","Subtraction: Review and Reflection","","","","","true"
"f4dfc669-06e9-4bea-a6db-a8f601437f76","Subtraction: Final Assessment","","","","","true"
"b0c38507-b852-4a4c-8767-c0234ef9b89c","Multiplication as Repeated Addition Using Counters","true","2","","true",""
"cff3b7c1-2468-454d-b2da-fe35d49e2456","Writing Multiplication Sentences Using the × Sign","true","2","","true",""
"f3e92483-c349-4553-ba43-fd277cf2be73","Multiplication as Repeated Addition Using Number Lines","true","2","","true",""
"0637d6e8-8325-403a-b44a-93f100d48c52","Multiplication: Practice and Application","","","","","true"
"2afb0a5b-88e3-4c8e-9ccb-844064b1bd3f","Multiplying by 5 and 10","true","2","","true",""
"938a3ed5-06ab-430b-a345-b933cce98a68","Multiplying by 3 and 4","true","2","","true",""
"6f189a13-23b4-49da-8acf-a103df240d45","Multiplication: Digital Games","","","","","true"
