"grade","subject","strand","sub_strand","learning_outcome","lesson_title","term","week","activity_title","activity_instructions","quest_title","quest_instructions","reflection_prompt","reward_coins","reward_stars","estimated_duration","difficulty","key_inquiry_question","suggested_learning_experience","assessment_hint","values","core_competencies","pertinent_and_contemporary_issues","source_document","source_page_or_section","source_confidence","review_status","existing_match_status","duplicate_risk","notes_for_victor"
"2","Mathematical Activities","Numbers","Number Concept","Learners should be able to demonstrate understanding of counting numbers up to 100 forwards","Counting Numbers up to 100 Forwards","Term 1","Week 1","Activity: Counting Numbers up to 100 Forwards","Engage learners in hands-on activities related to counting numbers up to 100 forwards. Use locally available materials.","Number Concept Quest","Explore number concept through interactive activities and practice.","What did you learn about counting numbers up to 100 forwards today?","10","1","30","Beginner","How do we counting numbers up to 100 forwards?","Use physical objects, group activities, and guided practice for counting numbers up to 100 forwards","Observe learner ability to demonstrate counting numbers up to 100 forwards","Responsibility,Respect","Communication and Collaboration,Critical Thinking and Problem Solving","","SEED_DATA (src/app/api/admin/seed-curriculum/route.ts)","Lines 22-37","MEDIUM — hardcoded seed data, not from official CBC/KICD document","DRAFT","NEEDS_VERIFICATION","LOW — lesson titles match seed data topics","Generated from seed data. Needs official CBC/KICD source verification before final import."
"2","Mathematical Activities","Numbers","Number Concept","Learners should be able to demonstrate understanding of counting numbers up to 100 backwards","Counting Numbers up to 100 Backwards","Term 1","Week 2","Activity: Counting Numbers up to 100 Backwards","Engage learners in hands-on activities related to counting numbers up to 100 backwards. Use locally available materials.","Number Concept Quest","Explore number concept through interactive activities and practice.","What did you learn about counting numbers up to 100 backwards today?","10","1","30","Beginner","How do we counting numbers up to 100 backwards?","Use physical objects, group activities, and guided practice for counting numbers up to 100 backwards","Observe learner ability to demonstrate counting numbers up to 100 backwards","Responsibility,Respect","Communication and Collaboration,Critical Thinking and Problem Solving","","SEED_DATA (src/app/api/admin/seed-curriculum/route.ts)","Lines 22-37","MEDIUM — hardcoded seed data, not from official CBC/KICD document","DRAFT","NEEDS_VERIFICATION","LOW — lesson titles match seed data topics","Generated from seed data. Needs official CBC/KICD source verification before final import."
"2","Mathematical Activities","Numbers","Number Concept","Learners should be able to demonstrate understanding of comparing numbers up to 100","Comparing Numbers up to 100","Term 1","Week 3","Activity: Comparing Numbers up to 100","Engage learners in hands-on activities related to comparing numbers up to 100. Use locally available materials.","Number Concept Quest","Explore number concept through interactive activities and practice.","What did you learn about comparing numbers up to 100 today?","10","1","30","Beginner","How do we comparing numbers up to 100?","Use physical objects, group activities, and guided practice for comparing numbers up to 100","Observe learner ability to demonstrate comparing numbers up to 100","Responsibility,Respect","Communication and Collaboration,Critical Thinking and Problem Solving","","SEED_DATA (src/app/api/admin/seed-curriculum/route.ts)","Lines 22-37","MEDIUM — hardcoded seed data, not from official CBC/KICD document","DRAFT","NEEDS_VERIFICATION","LOW — lesson titles match seed data topics","Generated from seed data. Needs official CBC/KICD source verification before final import."
"2","Mathematical Activities","Numbers","Place Value","Learners should be able to demonstrate understanding of tens and ones","Tens and Ones","Term 1","Week 4","Activity: Tens and Ones","Engage learners in hands-on activities related to tens and ones. Use locally available materials.","Place Value Quest","Explore place value through interactive activities and practice.","What did you learn about tens and ones today?","10","1","30","Beginner","How do we tens and ones?","Use physical objects, group activities, and guided practice for tens and ones","Observe learner ability to demonstrate tens and ones","Responsibility,Respect","Communication and Collaboration,Critical Thinking and Problem Solving","","SEED_DATA (src/app/api/admin/seed-curriculum/route.ts)","Lines 22-37","MEDIUM — hardcoded seed data, not from official CBC/KICD document","DRAFT","NEEDS_VERIFICATION","LOW — lesson titles match seed data topics","Generated from seed data. Needs official CBC/KICD source verification before final import."
"2","Mathematical Activities","Numbers","Place Value","Learners should be able to demonstrate understanding of identifying values of digits up to 100","Identifying Values of Digits up to 100","Term 1","Week 5","Activity: Identifying Values of Digits up to 100","Engage learners in hands-on activities related to identifying values of digits up to 100. Use locally available materials.","Place Value Quest","Explore place value through interactive activities and practice.","What did you learn about identifying values of digits up to 100 today?","10","1","30","Beginner","How do we identifying values of digits up to 100?","Use physical objects, group activities, and guided practice for identifying values of digits up to 100","Observe learner ability to demonstrate identifying values of digits up to 100","Responsibility,Respect","Communication and Collaboration,Critical Thinking and Problem Solving","","SEED_DATA (src/app/api/admin/seed-curriculum/route.ts)","Lines 22-37","MEDIUM — hardcoded seed data, not from official CBC/KICD document","DRAFT","NEEDS_VERIFICATION","LOW — lesson titles match seed data topics","Generated from seed data. Needs official CBC/KICD source verification before final import."
"2","Mathematical Activities","Numbers","Reading and Writing","Learners should be able to demonstrate understanding of writing numbers in digits up to 100","Writing Numbers in Digits up to 100","Term 1","Week 6","Activity: Writing Numbers in Digits up to 100","Engage learners in hands-on activities related to writing numbers in digits up to 100. Use locally available materials.","Reading and Writing Quest","Explore reading and writing through interactive activities and practice.","What did you learn about writing numbers in digits up to 100 today?","10","1","30","Beginner","How do we writing numbers in digits up to 100?","Use physical objects, group activities, and guided practice for writing numbers in digits up to 100","Observe learner ability to demonstrate writing numbers in digits up to 100","Responsibility,Respect","Communication and Collaboration,Critical Thinking and Problem Solving","","SEED_DATA (src/app/api/admin/seed-curriculum/route.ts)","Lines 22-37","MEDIUM — hardcoded seed data, not from official CBC/KICD document","DRAFT","NEEDS_VERIFICATION","LOW — lesson titles match seed data topics","Generated from seed data. Needs official CBC/KICD source verification before final import."
"2","Mathematical Activities","Numbers","Reading and Writing","Learners should be able to demonstrate understanding of writing numbers in words up to 100","Writing Numbers in Words up to 100","Term 1","Week 7","Activity: Writing Numbers in Words up to 100","Engage learners in hands-on activities related to writing numbers in words up to 100. Use locally available materials.","Reading and Writing Quest","Explore reading and writing through interactive activities and practice.","What did you learn about writing numbers in words up to 100 today?","10","1","30","Beginner","How do we writing numbers in words up to 100?","Use physical objects, group activities, and guided practice for writing numbers in words up to 100","Observe learner ability to demonstrate writing numbers in words up to 100","Responsibility,Respect","Communication and Collaboration,Critical Thinking and Problem Solving","","SEED_DATA (src/app/api/admin/seed-curriculum/route.ts)","Lines 22-37","MEDIUM — hardcoded seed data, not from official CBC/KICD document","DRAFT","NEEDS_VERIFICATION","LOW — lesson titles match seed data topics","Generated from seed data. Needs official CBC/KICD source verification before final import."
"2","Mathematical Activities","Numbers","Number Patterns","Learners should be able to demonstrate understanding of completing number patterns","Completing Number Patterns","Term 1","Week 8","Activity: Completing Number Patterns","Engage learners in hands-on activities related to completing number patterns. Use locally available materials.","Number Patterns Quest","Explore number patterns through interactive activities and practice.","What did you learn about completing number patterns today?","10","1","30","Beginner","How do we completing number patterns?","Use physical objects, group activities, and guided practice for completing number patterns","Observe learner ability to demonstrate completing number patterns","Responsibility,Respect","Communication and Collaboration,Critical Thinking and Problem Solving","","SEED_DATA (src/app/api/admin/seed-curriculum/route.ts)","Lines 22-37","MEDIUM — hardcoded seed data, not from official CBC/KICD document","DRAFT","NEEDS_VERIFICATION","LOW — lesson titles match seed data topics","Generated from seed data. Needs official CBC/KICD source verification before final import."
"2","Mathematical Activities","Numbers","Addition","Learners should be able to demonstrate understanding of adding numbers up to a sum of 100","Adding Numbers up to a Sum of 100","Term 1","Week 9","Activity: Adding Numbers up to a Sum of 100","Engage learners in hands-on activities related to adding numbers up to a sum of 100. Use locally available materials.","Addition Quest","Explore addition through interactive activities and practice.","What did you learn about adding numbers up to a sum of 100 today?","10","1","30","Beginner","How do we adding numbers up to a sum of 100?","Use physical objects, group activities, and guided practice for adding numbers up to a sum of 100","Observe learner ability to demonstrate adding numbers up to a sum of 100","Responsibility,Respect","Communication and Collaboration,Critical Thinking and Problem Solving","","SEED_DATA (src/app/api/admin/seed-curriculum/route.ts)","Lines 22-37","MEDIUM — hardcoded seed data, not from official CBC/KICD document","DRAFT","NEEDS_VERIFICATION","LOW — lesson titles match seed data topics","Generated from seed data. Needs official CBC/KICD source verification before final import."
"2","Mathematical Activities","Numbers","Addition","Learners should be able to demonstrate understanding of addition with carrying","Addition with Carrying","Term 1","Week 10","Activity: Addition with Carrying","Engage learners in hands-on activities related to addition with carrying. Use locally available materials.","Addition Quest","Explore addition through interactive activities and practice.","What did you learn about addition with carrying today?","10","1","30","Beginner","How do we addition with carrying?","Use physical objects, group activities, and guided practice for addition with carrying","Observe learner ability to demonstrate addition with carrying","Responsibility,Respect","Communication and Collaboration,Critical Thinking and Problem Solving","","SEED_DATA (src/app/api/admin/seed-curriculum/route.ts)","Lines 22-37","MEDIUM — hardcoded seed data, not from official CBC/KICD document","DRAFT","NEEDS_VERIFICATION","LOW — lesson titles match seed data topics","Generated from seed data. Needs official CBC/KICD source verification before final import."
"2","Mathematical Activities","Numbers","Subtraction","Learners should be able to demonstrate understanding of subtracting numbers within 100","Subtracting Numbers Within 100","Term 1","Week 11","Activity: Subtracting Numbers Within 100","Engage learners in hands-on activities related to subtracting numbers within 100. Use locally available materials.","Subtraction Quest","Explore subtraction through interactive activities and practice.","What did you learn about subtracting numbers within 100 today?","10","1","30","Beginner","How do we subtracting numbers within 100?","Use physical objects, group activities, and guided practice for subtracting numbers within 100","Observe learner ability to demonstrate subtracting numbers within 100","Responsibility,Respect","Communication and Collaboration,Critical Thinking and Problem Solving","","SEED_DATA (src/app/api/admin/seed-curriculum/route.ts)","Lines 22-37","MEDIUM — hardcoded seed data, not from official CBC/KICD document","DRAFT","NEEDS_VERIFICATION","LOW — lesson titles match seed data topics","Generated from seed data. Needs official CBC/KICD source verification before final import."
